              f1    f2    f3    total
a             7     17    17    41
able          0     1     1     2
about         1     2     2     5
accurate      1     0     0     1
ached         1     0     0     1
act           1     0     0     1
actual        1     0     0     1
actually      3     3     3     9
address       1     0     0     1
agreed        1     0     0     1
air           0     1     1     2
all           5     7     7     19
almost        1     0     0     1
alone         1     0     0     1
already       0     1     1     2
also          1     1     1     3
always        1     1     1     3
among         0     1     1     2
an            0     1     1     2
analogy       0     1     1     2
and           14    19    19    52
ankle         1     0     0     1
another       2     0     0     2
appearance    1     0     0     1
appeared      0     1     1     2
are           1     1     1     3
area          1     0     0     1
arent         0     1     1     2
argue         2     0     0     2
argument      1     0     0     1
around        0     1     1     2
arrive        0     1     1     2
as            2     8     8     18
asked         0     1     1     2
at            1     5     5     11
attention     0     1     1     2
away          0     1     1     2
back          1     6     6     13
bank          0     1     1     2
barely        2     0     0     2
be            7     4     4     15
become        0     3     3     6
been          1     7     7     15
before        0     1     1     2
begin         0     1     1     2
begun         1     0     0     1
being         1     0     0     1
belief        1     0     0     1
believe       0     1     1     2
better        0     2     2     4
betty         0     1     1     2
beyond        1     0     0     1
big           0     2     2     4
bird          0     1     1     2
blend         1     0     0     1
blue          1     2     2     5
blueberries   0     1     1     2
body          2     0     0     2
bone          0     1     1     2
both          2     0     0     2
branch        1     0     0     1
breakfast     1     0     0     1
breath        0     2     2     4
brief         0     1     1     2
bug           0     1     1     2
burnt         1     0     0     1
but           7     12    12    31
by            0     2     2     4
came          2     3     3     8
camera        1     0     0     1
can           0     1     1     2
care          2     0     0     2
carry         0     1     1     2
caught        0     1     1     2
certain       1     0     0     1
chair         2     0     0     2
change        0     1     1     2
chill         0     1     1     2
choice        0     1     1     2
cigarette     0     1     1     2
circumstances 1     0     0     1
clothes       0     1     1     2
clouds        0     2     2     4
clowns        0     2     2     4
color         1     1     1     3
come          1     0     0     1
coming        0     2     2     4
common        1     0     0     1
computer      1     0     0     1
condition     0     1     1     2
confusion     1     0     0     1
consider      1     0     0     1
considered    2     0     0     2
contact       0     1     1     2
continue      1     0     0     1
control       1     0     0     1
could         3     1     1     5
couldnt       1     2     2     5
courage       1     0     0     1
crack         0     1     1     2
creating      1     0     0     1
creature      0     1     1     2
crumpled      0     1     1     2
current       0     1     1     2
dad           0     1     1     2
damp          0     1     1     2
dave          0     1     1     2
day           2     1     1     4
decided       0     1     1     2
deed          0     1     1     2
deep          0     1     1     2
determine     0     1     1     2
devious       0     1     1     2
dew           0     1     1     2
die           1     0     0     1
different     2     0     0     2
difficult     1     0     0     1
discover      1     0     0     1
divide        0     1     1     2
do            1     2     2     5
doesnt        0     1     1     2
done          1     1     1     3
dont          0     4     4     8
downsides     2     0     0     2
dreams        2     1     1     4
driven        0     1     1     2
dry           0     1     1     2
due           1     0     0     1
each          1     0     0     1
early         0     1     1     2
earn          2     0     0     2
earth         0     1     1     2
easier        0     1     1     2
easy          2     0     0     2
eat           0     1     1     2
edible        0     1     1     2
else          0     2     2     4
emotions      1     0     0     1
end           2     0     0     2
energy        2     0     0     2
enough        0     1     1     2
entire        1     0     0     1
escape        0     1     1     2
